review,sentiment
certainly glad film made carl brashear amazing life story coming civil right era brashear became inspiration people minority group willing settle status expected br br brashear played cuba gooding jr lead example conduct life chosen similar jackie robinson integrated baseball made stick character conduct brashear gooding know want sharecropper life father carl lumbly lumbly make real clear get life gotten br br harry truman integrated armed service world war ii navy still restriction black man cook officer valet real fighting part denied good enough gooding applies become navy deep sea diver br br diving school bayonne new jersey gooding get thrown mostly master chief petty officer charge robert deniro deniro may leftover prejudice nevertheless hero one inspire one get passed racial divide br br best thing men honor chemistry deniro gooding certainly come different place get know turn men honor br br good performance note charlize theron deniro wife hal holbrook head diving school guy navy wish would retire reason see br br men honor inspiring story people courage spare ability change,1
diagnosis murder shown weekday afternoon bbc since used watch ill school good year ago know really enjoy way enjoy murder wrote totally addicted even dvd box set ok know sad br br dick van dyke carry show star dr mark sloan doctor community general hospital l also police consultant l p son steve barry van dyke dick real life son police officer need father help many suspicious death br br along ride dr amanda bentley victoria bentley resident pathologist community general first couple season scott baio playing dr jack stewart upped left series hoping go bigger better thing stayed done anything note since theatrical appearance many year baby genius superbabies oh dear br br anyhow dr jack stewart replaced younger dr jesse travis played charlie schlatter stepped baio shoe pretty comfortably br br series highly implausible whodunit series murder wrote everywhere jessica go someone end dead underrated father dowling mystery murder solving priest nun sidekick br br series much lighter supporting cast included bumbling hospital manager norman briggs played michael tucci along nurse mark secretary dolores played delores hall character longer included series became grittier affair bigger looking budget episode included far action one episode entire hospital blown br br family show van dyke well dick son barry also dick daughter grandchild making appearance various episode br br series went got bit silly one episode remember dick van dike play entire family bit ordinary whole diagnosis murder really good tv show numerous good guest star br br since show finished dick barry appeared together murder series tv movie made hallmark channel pretty much following path still enjoyable dick mid seem change great deal look working till bitter end br br tv show,1
planning watching wasted saw mtv preview since nothing better watch sunday night watched br br wasted requiem dream good movie considering made mtv one thing drew watching summer pheonix sister late wonderful river pheonix stared suppose talent run pheonix family good jaquien though niether river nick stahl also give great preformance junky jock much else say wasted dark depressing insightful look life three small town junky recomend like subject,1
redeeming feature movie steve carell like john wayne never seen steve carell stretch far actor matter always play one role perfectly br br marty feldman said comedy must internal consistency men stage sitting garbage can fine bring fifth man stage garbage must explain audience also garbage br br evan accept role messenger god accept profoundly embarrassed anyone impressed way animal follow evan around explained away unthinking doubter trained animal possibly circus terrible flood end everyone see hop ark saved surely thousand people would killed flood post disaster emotional atmosphere end instead congress finally seen light prosecute lone incorrigibly bad congressman profiteering br br gotta admit also liked fish aquarium reacting presence evan,0
thhe entertaining laugh lot cringe probably say oh sh get face away goddamn hole dumb thing along line know really worth seeing annoyed throughout entirety horrible military character seem know first thing combat br br yes violence gore higher body count first one still debating whether cancel feeling throughout whole movie ridiculous good ridiculousness like dead alive feast time would better spent watching aja remake th time br br go laugh go gore go hoping come satisfied,0
huge die hard monkey island fan fugured one would terrible since ron gilbert make boy surprised although still good first two comedy wanted little nervous new graphic new scumm engine fact cd came together interesting finally hear voice favorite character especially enjoyed sword fighting returned whole story finding big uncursed ring incredible go ahead try two cd adventure rejoice monkey island escape monkey island coming really really soon fall,1
meltdown pretty interesting sci fi major budget special effect decent acting storyline global doom enough sustain viewing asteroid graz atmosphere thrust earth orbit closer sun global warming rapidly becomes unbearable determined lapd cop casper van dien go save world certain annihilation rising temp devastating pressure save mankind solar catastrophe well protect daughter nurse ex wife tv reporter girlfriend cast includes stefanie von pfetten venus terzo amanda crew vincent gale,0
bottom barrel stinker bad beyond funny plot american mercenary played reb brown film called military adviser really clear american military helping army latin american country fight guerrilla wind joining guerrilla government turn imprisons torture shannon tweed sport equipment saleswoman pick bar get caught intrigue description actually make movie sound better really stinker almost biblical proportion bad well shannon tweed turn movie professional acting job indication th rate piece junk turkey nothing mismatched sound effect music score sound like z grade horror flick may well footage e armored personnel carrier going jungle trail reused constantly ineptly staged action scene recent memory laugh minute sludgefest seen disbelieved tweed look bored brown look hung time thing finished last long know feel br br although lot explosion gunfight considered action picture stretch imagination boring scene back truck everybody stare three four minute repetitive rebel soldier killed illogical group rebel caught open field government helicopter gunship instead breaking cover stand staring inept soldier rebel falling dead gunshot heard gun battle inside house combatant standing wall machine gunned miraculously wall escape undamaged predictable governor say offer reward brown capture someone might turn know exactly someone turn exactly thought downright stupid pretty much everything else picture inept brainless stupid beyond belief waste time,0
duchess pretty white cat life three kitten wealthy owner mansion paris evil butler hears rich old lady leaving everything cat first butler angered want get everything first put sleep abandon side road cat wake start long trek home street wise cat named thomas malley meet offer help edgar see arriving home furious start mail timbucktu thomas friend arrive help save day wealthy lady decides leave home every alley cat paris br br charming film song including everybody want cat lively upbeat voice cast excellent eva gabor would later play miss bianca disney rescuer film duchess phil harris baloo jungle book little john robin hood thomas giving interesting personality character supposedly walt disney died gave go ahead film recommended disney fan cat lover everywhere,1
filmmaker made rather boring everyman story look interesting complex focusing wife back home time exposed truly original existential french loner br br film documentary hardly ever feel experienced something accidentally profound make profound br br film visually interesting interior moment absolutely loved journey filmmaker took quite lot european credit hopefully pb screen reach wider audience usa,1
mario fan long remember fond memory playing super mario world kid game brought back many memory adding something new super mario galaxy latest installment amazing mario franchise much different game mario still keeping intact greatest element mario first noticeable difference story take place space br br story begin much like mario game mario receives letter princess peach inviting celebration castle mushroom kingdom upon arriving peach castle mario find bowser son bowser jr attacking castle airship bowser kidnaps princess peach lift castle space midst castle lifted space mario fall land unknown planet mario found talking star named luma taken back luma home floating space station mario meet many lumas also meet leader woman named rosalina rosalina tell mario bowser taken away space station power star scattered across universe mario help lumas find save peach thus adventure begin br br way play game flying space station galaxy galaxy consists multiple planet mario travel amongst level via shooting star retrieve power star mario many time walk way around planet without losing gravity planet small others big many planet similar classic mario environment best thing game control stuff like jumping still wiimote used many unique way game shake remote mario perform spin used primary attack game well activate shooting star also point remote screen use pointer fire star bit enemy object environment graphic far best graphic wii hard describe great game look could probably almost say look good game br br minor gripe going upside effect take getting used also story pretty weak worst part lose life turn game matter many last quit restart life still minor problem aside superb game highly entertaining challenging type game waiting wii br br perfect,1
arnold fan holler joy fan brainless action holler astonishment catholic holler br br illogically written andrew w marlowe ham handedly directed peter hyams end day get terminator open backed hospital gown arnold schwarzenegger return big screen heart operation whilst blowing thing mysterious way blaspheming biblical verse give catholic something whine br br doom sayers world live trepidation computer going fritz losing downloaded porn even technological stank yk mutton new york street ex cop turned alcoholic security guard jericho cane schwarzenegger perfunctory dead wife kid back story loose cannon effect must brave theological water save year old virgin christine robin tunney conscripted  wait  bride satan dun dah daaaarrrh stupidity ensues br br every anti hero anti christ gabriel byrne devil  party like mission impregnate christine anti christ pm midnight december  ironically hour porn lost  thereby bringing end day able read mind conjure hallucination employ limitless magic occur satan expedite impregnation process appearing month advance courting christine teen model closing panty raid easily appointed time instead appears december th like keyser soze terminator wonder welcome open thigh see comment stupidity movie nothing make sense moment uttered let alone contemplating veracity mythology priest rod steiger tell jericho really upside front wait prince anti christ br br satan soze pursues jericho christine j c  get around town point anything would actually precipitate capture one scene satan recreates jericho wife child tempt revealing hid christine see deeply jericho mind recreating family enough nuance inspire nostalgia see jericho hid christine ten minute ago br br satan make assassin talk without tongue yet make assassin unjam semi automatic weapon jericho shoot satan point blank range satan courteous enough open shirt reveal wound closing jericho worry unduly satan health sanitary go open bullet wound matter fact instead simply possessing jericho get close christine rape satan expends much unnecessary energy side project crucifying tongue less guy blowing jericho partner kevin pollak saving blowing ridiculously battling jericho could snuff effort thought wonder whether efficient assassin lover put case  say antonio banderas br br find precious end day arnold valiant attempt method sad mean scrunching eye blurting anything foreign accent depressed mean raising bottle lip blurting anything foreign accent deathly scared mean widening eye blurting anything foreign accent definitely pattern could decipher br br end devil dispatched holy men catholic pray deliverance apocalypse atheist jericho timid men impotent god exhort faith quiver cell nothing satan actually walking amongst prince darkness thwarted nullifidian big gun foreign accent clearly say something catholic blindly refuse hear even devil exist indoctrinated unconditionally irrationally fear would unable conjure belief downfall let alone act towards might truly want defeated contrary polarity god existence become tenable br br written book revelation prince darkness shall descendeth upon earth without solid game plan impregnate virgin date significance gregorian calendar adopts day numbering put sync equinox anno domine syntax annoy sensible people millennium time christian forgotten christ actual birth date appropriated pagan saturnalia festival stead prince shall effect revolution tight purple pant ambiguously lesbian band member believe people drained blood crucified alcoholic built like mr universe believe giant supernatural monster kill guy armed foreign accent even believe devil need perform hokey thirteenth century celtic druid ritual foreplay cannot believe year old virgin new york city br br especially around prince,0
thinking great escape allowed mind wander back little gem movie childhood read read autobiographical novel inspired came cinema never used word actually town showed foreign film first line buy ticket br br someone brought wartime newsreel propaganda film wwii avid interest exploring reality conflict reflected memoir story men person extended later keen willingness year buy book subject eventually read equally compelling novel han helmut kirst erich maria remarque provided even deeper sensibility movie version however unlike one rarely delivered good br br medium black white film never served well year never seen technicolor version war seems authentic deep chiaroscuro film like wooden horse true destined always captive image childhood confess freely br br never another like leo genn emblematic british war hero film even sir alec,1
may worst movie ever produced worst plot worst acting worst special effect prepared want watch way get enjoyment light match burn tape knowing never fall hand sane person,0
ok dvd got new amazon mean think badass pretty cool flick melissa bale slutty bitchy girl pick hot hell acting suck whole polt suck clown huge guy wearing mask disgusting ok recommend like u wanted rent good entertaining flick hard day work u nothing else ur obbsessed stupid movie like watch sometime know artisan dvd c k dvd collection c k good enough owned half way decent movie company ok well thats,0
thanks jymn magon creating disney best cartoon ever show improved much year kid like thought rip ducktales favorite disney thing time like grandmoffromero later though good great reading review decided give another chance bought dvd set watched whole pilot first day got pleasantly surprised still favorite episode although series live end disc knew going top tenner br br character complex charming favorite got wildcat absolutely hilarious sweet boot next favorite baloo best pilot show see ol jymn built show around kit cloudkicker baloo best relationship series louie jim cummings perfect job impersonating original voice rebecca made laugh pretty hard believe baloo eventually marry finally hero molly although least favorite still like think cute character much better webby ducktales villain original karnage air pirate always crack kahn ice cold ruthless thembrians always least amusing br br said story range hilarious time wait bear romance red chimp nothing short touching old man seaduck paradise lost fun funny exciting adventure search ancient blunder favorite bell klangs favorite episode anyway talespin disney best aside gummi bear reason gb decent amount favorite character cubbi t enough wildcat end talespin remains classic bottom line th best cartoon ever,1
like film several reason soft spot film intricately plotted criminal plot like topkapi also enjoy film like topkapi big deal madonna street spoof genre one best one disorganized crime br br corbin bernsen met four con year decides useful bank robbery planning small montana town given detail crime fellow really know shortly sends bernsen arrested two new jersey policeman ed neill daniel roebuck escaped warrant bring back custody four con fred gwynne lou diamond philip ruben blade rus show without clue except bernsen planning something br br first twenty minute film deal four con slowly getting used gwynne philip managing push away suspicion figure trust time see bernsen patiently waiting right moment escape neill roebuck difficult brightest bulb ever existed result two set plot keep juxtaposing throughout film four con trying figure bernsen scheme put operation bernsen trying maintain freedom pursuer regain cabin hopefully find gang take command also third smaller plot involving growing annoyance anger local sheriff hoyt axton idiot new jersey keep getting hair br br many delightful moment film axton egged neil roebuck surrounding house town bernsen supposed hiding inside yelling megaphone come surrounded scene switch huge montana plain bernsen struggling stumbling mile police think moment moment misadventure four con fortunately put oldest gwynne leadership position always guarantee anything one point car start thumb ride truck unfortunately truck carrying manure br br conclusion gang successfully carrying robbery including disabling police car critical time philip specialty car also gem timing suspense comic result film entertaining certainly worth watching,1
almost tempted demand money back video store movie plumb depth inanity almost completely unwatchable never bail film early painful view thorough waste celluloid vote would zero,0
believe anyone would green light let alone voluntarily star never able get min life back br br one worst film ever seen film bad good gone far round somehow bad terrible exactly expecting much low budget bandwagon jumping rehash b movie still came way expectation level even tv movie higher production value br br poor special effect shocking dialogue terrible acting completely unexplained plot cursed inch snake turn foot snake anyone ever heard highly venomous garter snake python passenger snake many promise none delivered br br comment would believe film worth watching last five minute even worth rental stay watch low budget tv movie enjoy lot br br made oh yes shamelessly cash internet phenomenon soap shame mallachi brother shame,0
future society military component recruit rather candidate chosen birth culled nursery designated spend entire life service government given war machine body soul reason protect serve personal identity name rank autonomy whatsoever fate whose destiny predetermined soldier directed paul anderson starring kurt russell scenario hard bleak movie begin depicting training soldier advancing period time preadolescence adulthood russell sergeant todd best best glimpse career discharge duty exemplary manner campaign campaign born soldier even best cannot go forever day arrives todd peer longer elite new generation soldier created product advanced genetics technology todd generation suddenly obsolete follows story man must fight life struggling discover sense humanity individuality trait new soldier known two thing entire life fear discipline russell give commanding performance todd soldier else must obey order without question suppressing emotion individual thought line movie russell speaks volume eye role demonstrates fact one appreciated actor time disappear entirely character todd credit ability part created someone quite different done given todd depth credibility someone lesser talent could easily rendered nothing pretentious superficial stereotype notable performance also turned connie nielsen sandra jason isaac colonel mekum rounding supporting cast jason scott lee memorable caine one new generation soldier sean pertwee mace gary busey captain church michael chiklis jimmy pig mark bringleson rubrick anderson delivered action film message cautionary tale transcends genre science fiction soldier reminds u importance keeping humanity life intact entertaining way making u consider alternative like bleak future world good movie make whole lot difference much like mad max movie ultimately uplifting going make take pause think kind universe must live together share rate one,1
would wrong reprehensible advise watch killjoy must better thing washing car throwing stone stream time nowhere near awful probably think almost proper film lot straight dvd sludge manage killjoy helped great deal trent haaga manic turn eponymous clown throw role fevered abandonment almost tip scale movie favour course take one man big shoe tammi sutton give entertaining director cameo since roger corman creature haunted sea whole thing nearly destroyed rushed sugary ending place almost good fun,0
talk ending film talk plot dude named gerald break engagement kitty run craven castle scotland several month kitty aunt venture scottland arriving craven castle kitty find gerald aged grown meaner gerald certain rule castle rule year gerald want stay kitty insist staying making excuse one night aunt catch glimpse monster running across hall scare much faint another excuse must stay longer kitty becomes worried gerald try go maze gerald catch even meaner kitty sends reinforcement call doctor actually friend wide make thing look suspicious invite couple friend really anything blah blah blah kitty aunt end maze suspense story somehow get separated try find aunt stumble upon creature moment waiting creature lurking shadow giant frog omg better seeing aunt frog literally go crazy run oops mean hop stair top castle frog leap open window go shot ground see frog gall towards u oh yeah movie want know funny frog fall window actually toy size frog take leap revealed evolution fault blah blah kitty gerald get married last shot masterpiece grave frog maze place ever really happy,1
saw movie thursday night really boring day expectation rather negative movie ever watched jimmy american version taxi queen latifah ask seriously movie cute drew barrymore always sweet almost fell love fallon character meet cute nerd like movie like excellent simple sweet necessary sunday thursday even sport fan something american movie baseball fascinates probably fact sport norway br br first comment ever haha,1
got subjected pile one wednesday afternoon mother law watching get someone basically remake crappy high budget hollywood flop core washed actor like luke perry high budget one flopped make people think movie year later budget would go anywhere laughing movie insanely similar fact shocked held legal rather airing tv basically script core redone badly seen core know worse funny since core already bad funny br br enjoy getting laugh really bad movie one right alley thing say wish luke perry able career horrible actor land horrible role crappy made tv movie run daytime television pretty much one step closer end would career,0
know want escavate moon real geneve debated project could lead make possible time machine say movie based fact future time movie scientifical project real hope moon exist happen movie movie saw original movie also read book book like though movie yes totally agree previous comment movie depressing unlike one good force one paralled future good movie,0
yowsa really want action check babe bomb non stop thriller veteran star martin sheen lead trio supermodel mission stop nuclear terrorism director dean hamilton let heavy plotline get way massive dos teensy swimsuit scene jiggly beach jog hubba hubba hot tub like want action get pearl harbor want babe get eyeful every two minute want go buy video yowsa yowsa yowsa mighty spicy meatball,1
obviously worst movie ever made ketchup starring role movie would nominee award cause plot actor anything related farce absolutely horrible ridiculous could made better horror flick backyard within two hour hand held camera using grass stuffed dummy actor atleast acting would better waste time money one extremely cheesy horrible,0
like title thread say impression got movie marlee matlin character always angry cynical pathetic character first date william hurt character dancing dumb tried finish watching movie four time four time fell asleep would keep watching movie one intention beat problem insomnia put sleep sweet dream,0
fan paranormal love ghost hunter show first came decided give try could barely sit one episode show obviously staged mean come every single episode involves someone possessed involves demonic force trying kill family another huge flaw guy never debunk anything watch ghost hunter find evidence try disprove evidence show find voice piece video evidence quick call ghost completely ruin credibility unlike tap ghost hunter actually know honestly interested paranormal want watch show watch ghost hunter,0
glad read many negative comment tritter plot everyone talk say thing like house gruff nature intelligence really dislike vindictiveness continuing plot cut real nature hospital story make everyone angry police authority need caring nature instead vindictiveness everyone hospital also seems many questionable legal aspect tritter actually alone cannot freeze account authority stop doctor writing prescription patient lot vindictiveness showing also hurting sick patient hospital good storyline portray voted episode awful story insert trittor piece turn rest plot get hurt people say hate watch story line anymore please change get tritter,0
know got idea snake plane put bluntly pay see movie really want waste minute life either catch cable get free pick netflix blockbuster pay rent pay rent one stupid individual acting awful plot awful everything awful except snake whether real cgi generated look pretty good said still movie one worst movie ever seen even nude dancing scene pretty bad actually fast forwarded sat warn,0
everything film terrible start film pretty good cast find impossible make great cast biggest disaster gangster film genre ever sound track like one bad slap stick comedy music whole film started get quite irritating br br please please please please please inflict disaster hurt,0
movie could impressing epic maker seem done utmost make appear foolish even god spared movie word drenched childish joke result blasphemous annoying people care see cheap parody biblical story may perhaps watch film without embarrassment maker tasteless production see il vangelo secondo matteo gospel according mathew film pier paolo pasolini show unnecessary pervert word bible make good story impressing result obtained sincere rendering plain text,0
movie called plan joseph smith think weirdness underappreciated playwright seems read paul ehrlich population bomb crafted musical response made especially mormon whole point play many child part heavenly father god plan anything stand way baby bad get br br version filmed confusing utah look feel like play actually written course theology part part battlestar galactica action take place earth pre existence aimless romper room annoying kid wait get body come try slam door missionary losing shot celestial glory br br stagey come let poor theatrics spoil appreciation demented mormon universe cool kid population control presumably counseling parent child big family time play written cultural norm lds community importantly considered part god plan church since done made family planning choice parent large family much less cultural norm making entire doctrinal premise movie modern day mormon moot br br ahhh really good music catchy tune let movie die death pre destined brother sister sing love song make wonder maybe something else going wink tough cool kid make new kid block look like metallica cheer gather family around make jell shooter enjoy show br br,0
dean koontz book watcher one finest book read sadly movie sad caricature book disillusioned middle aged hero lonely spinster find meaning life converted movie couple silly teenager stoic security agent conscientious sheriff combined farcical villain get picture moviemakers taken moving tale love horror adventure converted z grade horror flick aimed poorly teen market br br buy book enjoy many hour reading far far rewarding watching movie br br,0
larry mcmurty masterpiece stand good western lonesome dove ever take role woodrow call great portrayal style also easy see looking use stepping stone v series version writer knew keep flavor alive william peterson awesome geeky c guy character play guy seems br br deserve enjoyed enjoy western br br star,1
growing beast war transformer familiar original transformer seen awesome movie seen older cartoon based say like original cartoon live action movie beast war br br like bw character think character like optimus prime better optimus primal br br mean autobots transform roll sound lot better maximals maximize voice original optimus prime still make strong believer real commander optimus primal br br besides powermaster optimus prime lot powerful optimal optimus look web br br megatron bw character seemed like humorous version evil version original series br br besides cooler robot changing animal robot changing vehicle spaceship gimme original transformer day beast war,0
wonderful family film staple christmas time mystery true lost film first encountered flickering away old black white rca million dollar movie still vogue channel new york city rudolph mate directed fantasy nestled everyone christmas tree never released home video bad believe saw part amc year ago cut many older film rotation tcm take slack play easter christmas eve movie santa aunt bee hostess cupcake lady actor first name king bad ann blyth sally bundle energy school year rush chapel pray st ann help give guidance mixed financially strapped family work graduate place statue st ann bedroom one point entire moyne residence moved another address think done put end neighbor dispute moynes dastardly fellow next door blyth cute button edmund gwen play reclusive grandfather sleep satisfying movie experience,1
exactly new story line romantic comedy make concept work young man john cusack drop dead gorgeous woman kate beckinsale keep meeting chance wonder meant although promised others oddly enough still feel soul mate somewhere little sappy place viva la love romantic almost obligated riveted favorite scene cusack ground snow start falling finale almost sweet deserving one cusack deeper role hell could smitten beckinsale notable support provided jeremy piven molly shannon john corbett play worst role ever seen hand eugene levy quirky funny watch soul mate,0
family dad louis dale midkiff mom rachel denise crosby year old eileen blaze berdalh year old gage miko hughes move beautiful house maine seemingly unaware semi roar highway front house every second neighbor across way wonderful fred gwynne make feel home show pet cemetery child bury pet little sacred ground bring dead back life dead come back nasty mood br br definite spoiler novel stephen king good long developed character situation made care happened movie jettisons character development play gore violence animal killed camera know faked still repulsive little boy hit semi casket pop open funeral totally sick scene brought back life attack kill people including mom wonder year old able hang ghostly jogger ask try help family reason movie work audience shoving every gruesome death violence face go way shock end spoiler br br acting help midkiff dreadful father handsome buff totally blank crosby much better two kid annoying gwynne single handedly save picture effortless good acting br br picture show total contempt audience taking large leap logic character incredibly stupid thing especially midkiff end movie inexplicably huge box office hit led even worse sequel saw theatre back disturbed audience kept cheering violence appalled saw sick repulsive horror film way br br think get worse ramones sing title song wanna buried pet cemetery truly beyond belief,0
humphrey bogart clearly want film forced play part mexican would suspended believe made wrong choice presumably success dodge city warner tried follow errol flynn usual list buddy like alan hale guinn big boy williams frank mc hugh ever present john litel made huge mistake trying present miriam hopkins love interest flynn v randolph scott singer really make thing bad proved one thing cannot sing story bad bogie clearly miscast also turned poor western overlong low budget fairness color would helped,0
frank probably best version book sound movie version jazz singer version really silent movie despite build first talkie br br danny thomas great comedian sings well jewish stuff feeling peggy lee great film always entertaining allan joslyn entertaining could done without one question since cantor live luxurious house,1
sex ever farm animal tag line movie probably still misleading br br far one boring movie pleasure try watch lately found dvd lying around friend house made sad mistake burning br br unable tell detail without spoiling movie detail movie try imagine someone making movie thing c span fictional movie time less interesting boring debate c span br br think conspiracy somewhere movie unable tell exactly gouched eyeball threw richard gere,0
time left foot little movie could hugely popular everyone applauded fact small independent film could make way oscar br br since movie like left foot dime dozen might hard retrospect understand fuss certainly well made competent film clear bulk success rest shoulder daniel day lewis immerses role cristy brown man living cerebral palsy day lewis pull bit stunt acting dustin hoffman oscar year playing man autism rain man academy followed suit giving day lewis honor br br thing really separating film big budget hollywood production budget every way formulaic standard product say good movie masterpiece br br grade,1
crystal voyager strange documentary eccentric surfer living australia american birth george greenough surfed photographed friend recently dolphin australia year using various invented camera either strap back board boat mid teamed surf mag editor budding film maker david elfick create visually interesting tale life photography minute feature crystal voyager result even audience bit puzzled film neither surf ing movie surf movie george swim child zippy board real surfboard offset tedious droning george occasionally dry droll actually funny like almost setting fire falling something spectacular power glide wave ran minute set pink floyd music sydney opera house opened also contained cinema crystal voyager booked arty sporty oz pic default became hit opera house ticket cost far movie ticket audience flocked see film excuse sydney opera house film record business low budget attraction local tourist wanted tell neighbor seen show created myth film huge crowd puller reputation spread result teamed fantasy cartoon fantastic planet trippy run uk europe double feature ran coastal cinema crowd rather nonplussed recently george emerged lord fly style another well photographed sea adventure called dolphin glide offer viewer dive swim wild dolphin byron bay eccentric min short even eccentric min george short met collective yawn medium pubic january make crystal voyager fluke year ago however special oz surf night outdoor cinema last year people turned turn every night see anything summer season film damned thing fluked another box office binge many actually enjoyed much open debate likely plain puzzled mad film astonishing reputation elfick however since gone onto stellar career major producer director many lauded australian international film look worry starstruck undercover rabbit proof fence love limbo clear present applause achievement george however still floating around somewhere droning away looking something else film drop camera,0
another great film critic love problem good movie br br film premise simple nine convict escape prison tenth one go crazy tell treasure br br first half lot slapstick broad second half character driven descent fantasy melancholy br br two half simply mix individual scene work well guy crashing friend house new filipino bride hilarious later scene big guy working restaurant tug heartstrings simply mesh br br movie well missing entire set ups one scene show guy desperately looking change deserted vending machine buy snack next scene whole crew drag sitting restaurant get dress wig crew includes big guy midget get clothes money buy meal puzzling drag clearly guy drag let face anything memorable witness big guy dwarf eating meal dressed woman mention big guy dwarf besides old guy everyone else seems blend fact wear matching white jumpsuit throughout movie movie little character development first half result second half really lack emotional punch often trying figure individual payoff scene br br speaking drag second half wonderful sweeping camera shot big emotional moment great symbolism make great film also excruciatingly slow make boring movie br br soul big disappointment review gush great film somewhere good luck finding,0
